Responses,Coding,Count,Pct
"('MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI')",standard,18,0.03
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'AD', 'AD')",standard,18,0.03
"('CN', 'CN', 'MCI', 'MCI')",standard,18,0.03
"('Unknown', 'Unknown', 'Unknown', 'AD')",standard,17,0.03
"('AD', 'MCI', 'MCI', 'MCI')",standard,17,0.03
"('AD', 'MCI', 'AD')",standard,17,0.03
"('AD', 'MCI', 'MCI', 'MCI', 'MCI')",standard,17,0.03
"('AD', 'MCI', 'AD', 'AD')",standard,17,0.03
"('AD', 'AD', 'Unknown', 'Unknown')",standard,17,0.03
"('Unknown', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN')",standard,17,0.03
"('Unknown', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD')",standard,17,0.03
"('MCI', 'AD', 'MCI')",standard,17,0.03
"('MCI', 'MCI', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD')",standard,17,0.03
"('CN', 'CN', 'AD', 'AD', 'AD', 'AD', 'AD')",standard,16,0.03
"('Unknown', 'AD', 'AD', 'AD', 'AD', 'AD')",standard,16,0.03
"('Unknown', 'AD', 'Unknown')",standard,16,0.03
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'AD', 'AD')",standard,15,0.03
"('MCI', 'CN', 'CN', 'CN', 'CN')",standard,15,0.03
"('CN', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD')",standard,15,0.03
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'MCI')",standard,15,0.03
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'Unknown')",standard,15,0.03
"('MCI', 'CN', 'MCI')",standard,15,0.03
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'AD', 'AD')",standard,15,0.03
"('MCI', 'MCI', 'MCI', 'MCI', 'AD')",standard,15,0.03
"('CN', 'MCI', 'AD', 'AD')",standard,14,0.03
"('CN', 'CN', 'CN', 'CN', 'CN', 'AD', 'AD', 'AD', 'AD')",standard,14,0.03
"('CN', 'CN', 'CN', 'CN', 'MCI', 'MCI')",standard,14,0.03
"('MCI', 'Unknown', 'MCI')",standard,14,0.03
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'AD')",standard,14,0.03
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'Unknown')",standard,14,0.03
"('CN', 'CN', 'CN', 'CN', 'CN', 'MCI')",standard,14,0.03
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'MCI')",standard,14,0.03
"('CN', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD')",standard,14,0.03
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'AD', 'AD', 'AD')",standard,14,0.03
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'AD', 'AD', 'AD')",standard,14,0.03
"('CN', 'MCI', 'CN', 'CN')",standard,13,0.02
"('CN', 'AD', 'CN', 'CN')",standard,13,0.02
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'MCI')",standard,13,0.02
"('Unknown', 'Unknown', 'AD', 'AD', 'AD')",standard,13,0.02
"('AD', 'CN', 'CN', 'CN', 'CN', 'CN')",standard,13,0.02
"('AD', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN')",standard,13,0.02
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'AD')",standard,13,0.02
"('AD', 'AD', 'Unknown', 'AD')",standard,13,0.02
"('CN', 'CN', 'CN', 'Unknown', 'AD')",standard,13,0.02
"('MCI', 'CN', 'CN', 'CN', 'CN', 'CN')",standard,13,0.02
"('AD', 'CN', 'AD')",standard,13,0.02
"('AD', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD')",standard,13,0.02
"('CN', 'Unknown', 'AD')",standard,12,0.02
"('MCI', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD')",standard,12,0.02
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'MCI')",standard,12,0.02
"('Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown')",standard,12,0.02
"('CN', 'CN', 'CN', 'CN', 'CN', 'Unknown')",standard,12,0.02
"('AD', 'AD', 'CN', 'CN')",standard,12,0.02
"('Unknown', 'Unknown', 'MCI')",standard,12,0.02
"('AD', 'CN', 'CN', 'CN', 'CN')",standard,12,0.02
"('MCI', 'MCI', 'Unknown', 'Unknown', 'Unknown')",standard,12,0.02
"('MCI', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN')",standard,12,0.02
"('Unknown', 'MCI', 'Unknown')",standard,12,0.02
"('MCI', 'MCI', 'MCI', 'AD', 'AD', 'AD', 'AD')",standard,11,0.02
"('CN', 'CN', 'CN', 'CN', 'MCI', 'CN')",standard,11,0.02
"('MCI', 'Unknown', 'CN')",standard,11,0.02
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'AD', 'AD', 'AD', 'AD')",standard,11,0.02
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'AD')",standard,11,0.02
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'AD')",standard,11,0.02
"('CN', 'CN', 'CN', 'CN', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD')",standard,11,0.02
"('CN', 'Unknown', 'CN', 'CN', 'CN')",standard,11,0.02
"('CN', 'CN', 'CN', 'MCI', 'MCI')",standard,11,0.02
"('Unknown', 'Unknown', 'Unknown', 'CN')",standard,11,0.02
"('CN', 'Unknown', 'CN', 'CN')",standard,11,0.02
"('CN', 'CN', 'CN', 'Unknown', 'CN')",standard,11,0.02
"('CN', 'CN', 'CN', 'AD', 'CN')",standard,11,0.02
"('CN', 'CN', 'CN', 'AD', 'CN', 'CN')",standard,11,0.02
"('CN', 'CN', 'Unknown', 'CN')",standard,11,0.02
"('Unknown', 'CN', 'Unknown')",standard,11,0.02
"('AD', 'AD', 'Unknown', 'Unknown', 'Unknown')",standard,11,0.02
"('CN', 'CN', 'CN', 'Unknown', 'Unknown')",standard,11,0.02
"('CN', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI')",standard,11,0.02
"('AD', 'AD', 'AD', 'AD', 'Unknown')",standard,11,0.02
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'AD', 'AD', 'AD')",standard,11,0.02
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'AD')",standard,10,0.02
"('MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI')",standard,10,0.02
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'Unknown')",standard,10,0.02
"('MCI', 'AD', 'Unknown')",standard,10,0.02
"('AD', 'Unknown', 'AD', 'AD')",standard,10,0.02
"('CN', 'CN', 'MCI', 'CN')",standard,10,0.02
"('MCI', 'MCI', 'MCI', 'MCI', 'Unknown', 'Unknown')",standard,10,0.02
"('AD', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown')",standard,10,0.02
"('CN', 'CN', 'CN', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD')",standard,10,0.02
"('MCI', 'MCI', 'MCI', 'Unknown', 'Unknown')",standard,10,0.02
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'AD')",standard,10,0.02
"('CN', 'CN', 'CN', 'AD', 'AD', 'AD', 'AD', 'AD')",standard,10,0.02
"('Unknown', 'MCI', 'MCI', 'MCI')",standard,10,0.02
"('MCI', 'MCI', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD')",standard,10,0.02
"('Unknown', 'Unknown', 'MCI', 'MCI')",standard,9,0.02
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'AD', 'AD', 'AD', 'AD')",standard,9,0.02
"('MCI', 'MCI', 'MCI', 'Unknown', 'Unknown', 'Unknown')",standard,9,0.02
"('AD', 'AD', 'AD', 'Unknown', 'AD')",standard,9,0.02
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'MCI')",standard,9,0.02
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'AD', 'AD', 'AD')",standard,9,0.02
"('AD', 'CN', 'AD', 'AD')",standard,9,0.02
"('CN', 'CN', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD')",standard,9,0.02
"('AD', 'AD', 'MCI', 'MCI', 'MCI')",standard,9,0.02
"('MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI')",standard,9,0.02
"('MCI', 'MCI', 'Unknown', 'Unknown', 'Unknown', 'Unknown')",standard,9,0.02
"('MCI', 'Unknown', 'AD', 'AD')",standard,9,0.02
"('CN', 'MCI', 'MCI', 'MCI')",standard,9,0.02
"('CN', 'CN', 'CN', 'CN', 'Unknown', 'CN')",standard,9,0.02
"('CN', 'MCI', 'MCI', 'AD')",standard,9,0.02
"('CN', 'CN', 'CN', 'CN', 'AD', 'AD', 'AD', 'AD', 'AD')",standard,9,0.02
"('Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown')",standard,9,0.02
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'AD', 'AD', 'AD', 'AD')",standard,9,0.02
"('CN', 'AD', 'MCI')",standard,9,0.02
"('CN', 'MCI', 'CN', 'CN', 'CN')",standard,9,0.02
"('AD', 'MCI', 'AD', 'AD', 'AD')",standard,9,0.02
"('AD', 'MCI', 'AD', 'AD', 'AD', 'AD')",standard,9,0.02
"('AD', 'AD', 'AD', 'AD', 'AD', 'Unknown')",standard,8,0.01
"('CN', 'CN', 'Unknown', 'Unknown')",standard,8,0.01
"('MCI', 'Unknown', 'MCI', 'Unknown')",standard,8,0.01
"('AD', 'AD', 'MCI', 'MCI')",standard,8,0.01
"('CN', 'CN', 'CN', 'CN', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD')",standard,8,0.01
"('MCI', 'MCI', 'MCI', 'MCI', 'AD', 'AD')",standard,8,0.01
"('MCI', 'AD', 'MCI', 'AD')",standard,8,0.01
"('CN', 'CN', 'CN', 'CN', 'CN', 'MCI', 'MCI')",standard,8,0.01
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN')",standard,8,0.01
"('MCI', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown')",standard,8,0.01
"('AD', 'CN', 'AD', 'AD', 'AD')",standard,8,0.01
"('MCI', 'Unknown', 'Unknown', 'AD')",standard,8,0.01
"('CN', 'CN', 'AD', 'CN', 'CN', 'CN', 'CN')",standard,8,0.01
"('CN', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD')",standard,8,0.01
"('Unknown', 'Unknown', 'CN', 'CN', 'CN')",standard,8,0.01
"('CN', 'MCI', 'CN', 'CN', 'CN', 'CN')",standard,8,0.01
"('MCI', 'MCI', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD')",standard,8,0.01
"('CN', 'CN', 'CN', 'CN', 'CN', 'AD', 'AD', 'AD', 'AD', 'AD')",standard,8,0.01
"('AD', 'AD', 'AD', 'MCI')",standard,8,0.01
"('CN', 'MCI', 'Unknown')",standard,7,0.01
"('MCI', 'MCI', 'MCI', 'AD', 'AD', 'AD')",standard,7,0.01
"('MCI', 'CN', 'CN', 'AD')",standard,7,0.01
"('AD', 'MCI', 'CN')",standard,7,0.01
"('Unknown', 'Unknown', 'CN', 'CN', 'CN', 'CN', 'CN')",standard,7,0.01
"('MCI', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD')",standard,7,0.01
"('CN', 'CN', 'CN', 'CN', 'AD', 'AD', 'AD', 'AD')",standard,7,0.01
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'AD', 'AD')",standard,7,0.01
"('Unknown', 'CN', 'AD')",standard,7,0.01
"('Unknown', 'AD', 'Unknown', 'Unknown')",standard,7,0.01
"('Unknown', 'Unknown', 'AD', 'AD', 'AD', 'AD')",standard,7,0.01
"('MCI', 'AD', 'CN')",standard,7,0.01
"('CN', 'CN', 'AD', 'CN', 'AD', 'AD')",standard,7,0.01
"('AD', 'CN', 'CN', 'CN', 'CN', 'AD')",standard,7,0.01
"('CN', 'CN', 'MCI', 'CN', 'CN')",standard,7,0.01
"('CN', 'CN', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD')",standard,7,0.01
"('CN', 'MCI', 'MCI', 'MCI', 'MCI')",standard,7,0.01
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'AD', 'AD', 'AD')",standard,7,0.01
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'AD', 'AD', 'AD', 'AD')",standard,7,0.01
"('MCI', 'MCI', 'AD', 'MCI')",standard,7,0.01
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'MCI')",standard,7,0.01
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'Unknown')",standard,7,0.01
"('AD', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN')",standard,7,0.01
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'Unknown')",standard,7,0.01
"('CN', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD')",standard,7,0.01
"('CN', 'MCI', 'MCI', 'CN')",standard,7,0.01
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'MCI')",standard,7,0.01
"('MCI', 'CN', 'AD')",standard,7,0.01
"('CN', 'MCI', 'AD', 'AD', 'AD')",standard,7,0.01
"('AD', 'AD', 'AD', 'Unknown', 'Unknown')",standard,7,0.01
"('AD', 'MCI', 'MCI', 'AD')",standard,7,0.01
"('AD', 'AD', 'Unknown', 'AD', 'AD')",standard,6,0.01
"('AD', 'AD', 'AD', 'AD', 'AD', 'MCI')",standard,6,0.01
"('AD', 'CN', 'MCI')",standard,6,0.01
"('MCI', 'MCI', 'MCI', 'MCI', 'Unknown')",standard,6,0.01
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'Unknown', 'CN')",standard,6,0.01
"('CN', 'CN', 'CN', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD')",standard,6,0.01
"('CN', 'CN', 'MCI', 'AD')",standard,6,0.01
"('Unknown', 'CN', 'MCI')",standard,6,0.01
"('CN', 'CN', 'CN', 'CN', 'AD', 'CN')",standard,6,0.01
"('Unknown', 'MCI', 'AD')",standard,6,0.01
"('CN', 'CN', 'AD', 'CN', 'CN')",standard,6,0.01
"('AD', 'AD', 'AD', 'MCI', 'MCI', 'MCI')",standard,6,0.01
"('Unknown', 'Unknown', 'CN', 'CN')",standard,6,0.01
"('CN', 'CN', 'Unknown', 'CN', 'CN')",standard,6,0.01
"('CN', 'MCI', 'AD', 'AD', 'AD', 'AD', 'AD')",standard,6,0.01
"('CN', 'CN', 'AD', 'CN', 'CN', 'CN')",standard,6,0.01
"('AD', 'AD', 'CN', 'AD')",standard,6,0.01
"('MCI', 'MCI', 'MCI', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD')",standard,6,0.01
